timestamp,source,title,company,status,reason
2026-08-10 01:07:20.802230,naukri,Azure Data Engineer,Brigosha Technologies,skipped,external apply
2026-08-10 01:07:39.515572,naukri,Snowflake Data Engineer,Infosys,stopped,profile gap: [NEEDS_HUMAN_INPUT: Infosys Employee ID]
2026-08-10 01:08:31.241418,naukri,Data Engineer - Databricks,Zorba Ai,skipped,external apply
2026-08-10 01:09:05.471603,naukri,Data Engineer - Databricks,Zorba Ai,skipped,external apply
2026-08-11 00:09:49.562811,naukri,Snowflake Data Engineer,Infosys,stopped,GEMINI_API_KEY is not set. Get a free key at https://aistudio.google.com/apikey and `export GEMINI_API_KEY=...`
2026-08-11 00:16:12.028461,naukri,Data Engineer,Fornax,stopped,GEMINI_API_KEY is not set. Get a free key at https://aistudio.google.com/apikey and `export GEMINI_API_KEY=...`
2026-08-11 00:22:29.992621,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 00:22:52.938464,naukri,Senior AZURE Data Engineer,The Glove,applied,
2026-08-11 00:23:12.101914,naukri,Snowflake Data Engineer,Infosys,stopped,GEMINI_API_KEY is not set. Get a free key at https://aistudio.google.com/apikey and `export GEMINI_API_KEY=...`
2026-08-11 00:24:35.122171,naukri,Snowflake Data Engineer,Infosys,stopped,GEMINI_API_KEY is not set. Get a free key at https://aistudio.google.com/apikey and `export GEMINI_API_KEY=...`
2026-08-11 00:27:51.940036,naukri,Snowflake Data Engineer,Infosys,stopped,GEMINI_API_KEY is not set. Get a free key at https://aistudio.google.com/apikey and `export GEMINI_API_KEY=...`
2026-08-11 00:28:16.847780,naukri,Snowflake Data Engineer,Infosys,stopped,GEMINI_API_KEY is not set. Get a free key at https://aistudio.google.com/apikey and `export GEMINI_API_KEY=...`
2026-08-11 00:31:33.147757,naukri,Snowflake Data Engineer,Infosys,stopped,"GEMINI_API_KEY is not set. Either run $env:GEMINI_API_KEY=""your-key"" in PowerShell, or create a .env file in the project folder (copy .env.example) with your key in it. Get a free key at https://aistudio.google.com/apikey"
2026-08-11 01:35:51.665453,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 01:36:44.741826,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 01:37:20.642143,naukri,Databricks Data Engineer,Infosys,applied,
2026-08-11 01:37:43.816264,naukri,Expert D&T MLOps Engineer,DSM Firmenich,applied,
2026-08-11 01:38:00.507897,naukri,Data Analyst,BPM,skipped,external apply
2026-08-11 01:38:02.947094,naukri,Azure Data Engineer - Databricks,KPI Partners,skipped,external apply
2026-08-11 01:38:27.603306,naukri,Data Engineer,V3 Staffing,applied,
2026-08-11 01:40:31.953028,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 01:41:24.100947,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 01:42:00.198069,naukri,Databricks Data Engineer,Infosys,applied,
2026-08-11 01:42:16.858751,naukri,Data Analyst,BPM,skipped,external apply
2026-08-11 01:42:20.253508,naukri,Azure Data Engineer - Databricks,KPI Partners,skipped,external apply
2026-08-11 01:42:23.279063,naukri,Data Engineer,Tatpata,skipped,external apply
2026-08-11 01:42:32.348057,naukri,Etl Engineer,Codincity Digital Technologies,applied,
2026-08-11 01:42:48.998962,naukri,Azure Data Platform Engineer,UST,skipped,external apply
2026-08-11 01:42:57.631632,naukri,BI Engineer,Codincity Digital Technologies,applied,
2026-08-11 01:43:15.290926,naukri,Data analyst,IBU Consulting,skipped,external apply
2026-08-11 01:43:24.252913,naukri,Data Engineer,V3 Staffing,applied,
2026-08-11 01:43:48.815917,naukri,Python FastAPI Engineer,CGI,applied,
2026-08-11 01:44:15.035093,naukri,Azure Developer,Carnation Infotech,stopped,"unhandled options question, needs review: Relevant Experience in infrastructure as a code and also in Argo CD ?"
2026-08-11 01:50:45.157363,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 01:51:43.894669,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 01:52:06.764532,naukri,Python PySpark Engineer,CGI,applied,
2026-08-11 01:52:24.877877,naukri,Data Engineer,Amgen Inc,skipped,external apply
2026-08-11 01:52:27.336223,naukri,Data Analyst,BPM,skipped,external apply
2026-08-11 01:52:29.850914,naukri,Azure Data Engineer - Databricks,KPI Partners,skipped,external apply
2026-08-11 01:52:32.891247,naukri,Data Engineer,Tatpata,skipped,external apply
2026-08-11 01:52:35.884151,naukri,Azure Data Platform Engineer,UST,skipped,external apply
2026-08-11 01:52:38.903118,naukri,Data analyst,IBU Consulting,skipped,external apply
2026-08-11 01:52:48.064534,naukri,Data Engineer,V3 Staffing,applied,
2026-08-11 01:53:18.977053,naukri,Azure Developer,Carnation Infotech,stopped,"unhandled options question, needs review: Relevant Experience in infrastructure as a code and also in Argo CD ?"
2026-08-11 02:02:57.960857,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 02:03:50.206799,naukri,Snowflake Data Engineer,Infosys,applied,
2026-08-11 02:04:07.025190,naukri,Data Engineer,Amgen Inc,skipped,external apply
2026-08-11 02:04:10.453733,naukri,Data Analyst,BPM,skipped,external apply
2026-08-11 02:04:13.544164,naukri,Azure Data Engineer - Databricks,KPI Partners,skipped,external apply
2026-08-11 02:04:16.522881,naukri,Data Engineer,Tatpata,skipped,external apply
2026-08-11 02:04:19.582587,naukri,Azure Data Platform Engineer,UST,skipped,external apply
2026-08-11 02:04:22.539064,naukri,Data analyst,IBU Consulting,skipped,external apply
2026-08-11 02:04:31.629555,naukri,Data Engineer,V3 Staffing,applied,
2026-08-11 02:04:55.070158,naukri,Azure Developer,Carnation Infotech,skipped,"unhandled options question, needs review: Relevant Experience in infrastructure as a code and also in Argo CD ?"
2026-08-11 02:04:55.075162,naukri,Power Bi Developer -Immediate Hiring -Innominds Software Pvt Ltd,Innominds Software,skipped,title doesn't match role keywords (Azure Data Engineer)
2026-08-11 02:04:55.079161,naukri,Python Automation Test Engineer,Infosys,skipped,title doesn't match role keywords (Azure Data Engineer)
2026-08-11 02:05:03.570866,naukri,Data Consultant,Kennect Solutions,applied,
2026-08-11 02:05:17.627638,naukri,Python Programmer,Infosys,skipped,title doesn't match role keywords (Azure Data Engineer)
2026-08-11 02:05:26.431056,naukri,Data Engineer,Clover Infotech,applied,
